Query,Ambiguity Type,Retrieved,Retrieved Count,Context Length,Retrieved Context,Ground Truth,Prediction,Similarity,Expert1,Expert2,Final Label,,,,,,
What is the Santali name for Baidyanathdham?,Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"The Santali name for Baidyanathdham is ""Boidanath"" or ""Baidyanath Dham"", often referred to descriptively as ""Boidanath Jaher Than"" (sacred place) in Santali oral tradition."," The Santali name for Baidyanathdham is ""Baitarnath"".",0.8512,Correct,Correct,Ok,1,1,53,172,0.308139535,0
What is the Santhali name for the Mayurakshi River?,Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"The Santhali name for the Mayurakshi River is ""Morokhi"" or ""Mayuraksi"", which is close to the Bengali/Sanskrit form and means ""peacock-eyed"" in Santali usage as well."," The Santhali name for the Mayurakshi River is ""Mohana"".",0.8275,Correct,Correct,Ok,1,1,56,166,0.337349398,0
What is the size of Baidyanathdham?,Locational Extent Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The Baidyanathdham temple complex occupies an area of approximately 1.5 acres (about 6000 square metres)., The size of Baidyanathdham is uncertain due to the unspecified spatial scale in the query.,0.5964,Not Correct,Not Correct,Halucinate,0,0,91,105,0.866666667,1
What is the total area covered by the Baidyanathdham temple complex?,Locational Extent Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The Baidyanathdham temple complex covers a total area of about 1.5 acres (approximately 6000 square metres).," The total area of the Baidyanathdham temple complex can be estimated, but it may vary due to different sources and definitions of the area boundaries. A specific figure, for instance, could be obtained by measuring the perimeter of the complex and then assuming an average width based on available images or site plans. However, it is essential to note that the actual area might differ from this estimation due to intricate architectural structures within the complex.",0.7908,Not Correct,Not Correct,Halucinate,1,1,470,108,4.351851852,1
What is the total length of paved roads inside the Deoghar municipal area?,Geometric Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Deoghar Municipal Corporation (DMC) maintains roads of about 180 kilometres in length," Due to the ambiguity in both the spatial boundary or extent and required spatial scale, it is impossible to precisely determine the total length of paved roads inside the Deoghar municipal area without additional context or clarification.",0.6183,Not Correct,Not Correct,Halucinate,0,0,239,85,2.811764706,1
What is the width of the Mayurakshi River near Dumka?,Locational Extent Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"The width of the Mayurakshi River near Dumka city varies seasonally, averaging about 60 to 80 metres during non-monsoon periods."," The width of the Mayurakshi River near Dumka can vary depending on factors such as season and water flow level, but a possible estimate could be around 200 meters based on satellite imagery analysis. However, for precise measurements, it is recommended to consult hydrographic surveys or local authorities.",0.8791,Correct,Not Correct,Ok,1,1,307,128,2.3984375,0
"What kind of geographic feature is Marang Buru – a ridge, a plateau, or a hill?",Location Geometry Type Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Marang Buru is a prominent hill, which is the highest point in the Dumka-Godda Uplands region."," The information provided does not specify a required spatial scale, so it is difficult to definitively determine if Marang Buru is a ridge, a plateau, or a hill without additional context. However, based on common usage and general features, Marang Buru could be interpreted as a prominent hill or small mountain.",0.6836,Not Correct,Not Correct,Halucinate,0,0,314,94,3.340425532,1
What was the area of Dumka earlier?,Temporal Spatial Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"Before the creation of Jamtara district in 2001, undivided Dumka district had an area of approximately 6212 square kilometres (later reduced to 3716 sq km).", The area of Dumka during an unspecified earlier time period cannot be definitively determined without a specific date or era of reference.,0.5447,Not Correct,Not Correct,Halucinate,0,0,139,156,0.891025641,1
What was the official name of Deoghar before Indian independence?,Temporal Spatial Ambiguity | Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"Before Indian independence, Deoghar was officially referred to as ""Deoghar"" in government records, though it was colloquially and historically also known as ""Baidyanathdham"" or ""Baba Dham""; the British also referred to the town as part of the Santal Parganas."," The official name of Deoghar, prior to Indian Independence, was known as Deogarh.",0.7189,Not Correct,Correct,Ok,0,1,82,259,0.316602317,0
What was the old cart track connecting Deoghar to Jasidih before the railway was built?,Temporal Spatial Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,"The old cart track between Deoghar and Jasidih followed roughly the alignment of the present-day Station Road, a narrow unpaved path used for bullock carts and pedestrian traffic before the railway line was commissioned in the late 19th century."," The old cart track connecting Deoghar to Jasidih before the railway was built refers to the historical route used for land transportation prior to the construction of the railway line between these two locations, presumably during a time frame that is not explicitly stated in the question.",0.8538,Correct,Correct,Ok,1,1,291,245,1.187755102,0
What were the pre-colonial historical names of the Mansarovar water body?,Toponymical Naming Ambiguity | Temporal Spatial Ambiguity,N/A,N/A,N/A,N/A,"The pre-colonial historical name of the Mansarovar water body is believed to be the same    ""Mansarovar""    named after the sacred Lake Mansarovar in Tibet; it may also have been referred to locally as ""Baba Dham Pokhar"" or ""Shivganga"" in some texts."," Pre-colonial historical names for the Mansarovar water body include:
1. Mtsho-rgyal (Tibetan)
2. Manas Sarovar (Sanskrit)
3. Tso Muchen (Chinese)
4. Longe lake (Avestan)
5. Mañasarovara (Old Kashmiri)
6. Rotem Chu (Tibetan)
7. Man Sarovar (Urdu)",0.7755,Correct,Correct,Ok,1,1,247,250,0.988,0
"When someone says ""Deoghar"", are they talking about the city or the district?",Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"In common usage, ""Deoghar"" may refer to either the city (municipal corporation area) or the entire district; context determines whether the urban centre or the broader administrative territory is meant."," Deoghar can refer to either a city or a district, depending on the context of the conversation.",0.8711,Correct,Correct,Ok,1,1,96,202,0.475247525,0
Where are the Trikut peaks?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The Trikut peaks are located in the Deoghar district of Jharkhand, India."," The Trikut peaks refer to a group of three prominent Himalayan peaks in Uttarakhand, India, namely Neelkantheshwar, Deo Tai, and Mana. They are located near the Indo-Tibet border, along the Badrinath-Mana route.",0.853,Correct,Not Correct,Ok,1,1,212,73,2.904109589,0
Where can one find the tourist information office in Deoghar?,Semantic Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The tourist information office in Deoghar is located at the Deoghar Tourist Complex near Tower Chowk, operated by Jharkhand Tourism."," To locate the tourist information office in Deoghar, you may want to visit or inquire at prominent locations such as the main bus station, railway station, or popular tourist attractions like the Baidyanath Dham temple complex. Alternatively, look for signs directing to the tourist office or check online resources for specific addresses and operating hours.",0.8,Correct,Not Correct,Ok,1,1,360,132,2.727272727,0
Where exactly is the main bus terminus located in Deoghar?,Semantic Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The main bus terminus in Deoghar is located near the Tower Chowk area, adjacent to the Deoghar-Dumka road, approximately 2 km from the railway station."," The main bus terminus in Deoghar, Jharkhand, India, is typically located near or on National Highway 39 (NH39) and State Highway 27 (SH27), close to the Deoghar Railway Station. However, for the most accurate and up-to-date information, it's advisable to consult a reliable mapping service or contact local transportation authorities.",0.7691,Correct,Not Correct,Ok,1,1,335,151,2.218543046,0
Where is Baba Dham?,Toponymical Semantic Ambiguity | Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"Baba Dham is located in the Deoghar city, Jharkhand. There is also a Baba Basukinath Temple in Dumka, Jharkhand."," Baba Dham refers to the Vaishno Devi Temple in Katra, Jammu and Kashmir, India. However, it's also used for another temple located in Rudraprayag, Uttarakhand, India. It's essential to clarify which one is intended in any given context.",0.7825,Correct,Not Correct,Ok,1,1,237,112,2.116071429,0
"Where is Baidyanathdham, Deoghar?",Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Baidyanathdham is located within the Deoghar Municipal Corporation area, in Deoghar district, Jharkhand."," Baidyanathdham, Deoghar is located in the Deoghar district of Jharkhand state, India.",0.9453,Correct,Correct,Ok,1,1,86,104,0.826923077,0
Where is Baidyanathdham?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Baidyanathdham is located in the heart of Deoghar city, within the Deoghar Municipal Corporation area, in Deoghar district, Jharkhand in India"," Baidyanathdham is located in Deoghar, Jharkhand, India.",0.9552,Correct,Correct,Ok,1,1,56,142,0.394366197,0
Where is Dumka Sadar Hospital Blood Bank?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The blood bank at Dumka Sadar Hospital is located within the hospital campus, in a dedicated building adjacent to the main emergency block."," Dumka Sadar Hospital's Blood Bank is located within Dumka, Jharkhand, India.",0.8633,Correct,Correct,Ok,1,1,77,139,0.553956835,0
Where is Dumka Sadar Hospital?,Semantic Result Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Dumka Sadar Hospital is on Hospital Road in the Banderjori area of Dumka, Jharkhand."," Dumka Sadar Hospital is located in Dumka, Jharkhand, India.",0.9385,Correct,Correct,Ok,1,1,60,84,0.714285714,0
Where is Dumka?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Dumka is a district in the north east of Jharkhand and also the city that serves as the district headquarters., Dumka is located in the Indian state of Jharkhand.,0.9501,Correct,Correct,Ok,1,1,51,110,0.463636364,0
Where is Mansarovar?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Mansarovar pond is located adjacent to the Baidyanathdham temple complex in Deoghar city, Deoghar district, Jharkhand."," Mansarovar is a freshwater lake in Tibet Autonomous Region, China, near Mount Kailash, also known as Mount Kailas.",0.6383,Not Correct,Not Correct,Halucinate,0,0,115,118,0.974576271,1
Where is Marang Buru located?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Marang Buru is located in the Dumka-Godda uplands, within the Marang Buru Reserved Forest area of Dumka district, Jharkhand."," Marang Buru is an island located in the Maluku Province, Indonesia.",0.7857,Correct,Correct,Ok,1,1,68,124,0.548387097,0
"Where is Nayapara, Dumka?",Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Nayapara is a revenue village located within the Dumka Sadar CD Block.," Nayapara is located in the Dumka district of Jharkhand state, India.",0.839,Correct,Correct,Ok,1,1,69,70,0.985714286,0
Where is Nayapara?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Nayapara is a revenue village located within Dumka City, approximately 10-12 km from Dumka city centre in the south/southeast direction."," Nayapara can refer to several locations in Bangladesh and India, such as a refugee camp or a village. To provide an accurate answer, it would be helpful if you could specify which Nayapara you are referring to. However, based on the frequency of mentions, one possible interpretation is Nayapara in Tripura, India, near the Bangladesh border.",0.6419,Not Correct,Not Correct,Halucinate,0,0,343,136,2.522058824,1
Where is Parasnath?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,Parasnath Hill is located in the Giridih district of Jharkhand state.," Parasnath is located in the Katni district, Madhya Pradesh, India. (Coordinates: 24.6035° N, 81.2839° E)",0.7896,Correct,Correct,Ok,1,1,107,69,1.550724638,0
Where is the base of Trikut Buru?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The base of Trikut Buru is situated near the village of Trikutpar, approximately 15 km from Deoghar city."," Trikut Buru's base is located on the island of Halmahera, in North Maluku province, Indonesia.",0.7554,Correct,Correct,Ok,1,1,95,105,0.904761905,0
Where is the designated bathing ghat on the Mansarovar pond?,Spatial Part Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"The designated bathing ghat at Mansarovar pond is located on the eastern edge, with steps leading into the water, within the temple trust premises."," The designated bathing ghat on the Mansarovar Pond is located at the Indian-Chinese border in the Uttarakhand region, India, specifically near the town of Chang-chenmo or Chang Gu in Tibet Autonomous Region, China. It's a part of the Kailash Mansarovar Yatra pilgrimage route.",0.8389,Correct,Correct,Ok,1,1,277,147,1.884353741,0
Where is the entrance of Baidyanathdham?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The entrance to Baidyanathdham temple is on the western side of the complex, accessed via Baba Mandir Road."," The entrance of Baidyanathdham can be found in Deogarh, Jharkhand, India.",0.7103,Not Correct,Correct,Ok,0,1,74,107,0.691588785,0
Where is the hospital in Dumka?,Spatial Granularity Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The main government hospital in Dumka, Dumka Sadar Hospital, is situated on Hospital Road near the Collectorate and District Court complex."," The hospital in Dumka can be located within the city boundaries of Dumka, Jharkhand, India.",0.8317,Correct,Correct,Ok,1,1,92,139,0.661870504,0
Where is the main gate of Baidyanathdham?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The main gate of Baidyanathdham is on the western side of the temple complex, facing the Baba Mandir Road."," The main gate of Baidyanathdham is located in Deoghar, Jharkhand, India.",0.7488,Not Correct,Correct,Ok,0,1,73,106,0.688679245,0
Where is the Mansarovar ghat?,Spatial Part Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"The Mansarovar ghat is on the eastern bank of the Mansarovar pond, adjacent to the Baidyanathdham temple complex boundary."," Mansarovar Ghat refers to a religious site located on the shores of Lake Mansarovar, in Tibet Autonomous Region, China. It's a significant pilgrimage spot for Hindus and Buddhists.",0.7502,Correct,Correct,Ok,1,1,181,122,1.483606557,0
Where is the meditation hall (Dhyan Mandap) situated inside Baidyanathdham?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,The Dhyan Mandap (meditation hall) is situated in the northeastern section of the Baidyanathdham temple complex.," The Meditation Hall (Dhyan Mandap) is located within the Baidyanathdham complex, specifically in the main temple premises near the central Shiva Lingam or Jyotirlinga shrine.",0.9318,Correct,Correct,Ok,1,1,175,112,1.5625,0
Where is the parking lot of Deoghar railway station relative to the main entrance?,Spatial Part Ambiguity | Relational Semantic Ambiguity,N/A,N/A,N/A,N/A,"The parking lot of Deoghar railway station is located on the eastern side of the main entrance building, facing the station approach road."," The parking lot of Deoghar railway station is located to the north or east of the main entrance, based on typical railway station layouts and general orientation conventions. However, this information may not be definitive as station designs can vary and specific details are not always available.",0.9197,Correct,Not Correct,Ok,1,1,298,138,2.15942029,0
Where is the peak of Marang Buru?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The peak of Marang Buru is situated within the Marang Buru Reserved Forest area, accessible via trekking routes from the Dumka-Shikaripara road."," The peak of Marang Buru is located on Pulau Marang, a small island off the northeast coast of Peninsular Malaysia.",0.6577,Not Correct,Not Correct,Halucinate,0,0,115,144,0.798611111,1
Where are the peaks of Trikut Buru?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The peaks of Trikut Buru are in the Deoghar district of Jharkhand, India."," The peaks of Trikut Buru are located on the island of Halmahera, Indonesia.",0.7298,Not Correct,Correct,Ok,0,1,76,73,1.04109589,0
Where is the road to Trikut Buru?,Semantic Result Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"The road to Trikut Buru begins from the Deoghar-Dumka highway, with a diversion near Mohanpur that leads toward the Trikut hill base."," The road to Trikut Buru can be found in Sikkim, India.",0.7079,Not Correct,Correct,Ok,0,1,55,133,0.413533835,0
Where is the treasury office (koshagar) located within Dumka?,Semantic Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The district treasury office (Koshagar) in Dumka is located within the Collectorate campus, near the main administrative block."," The Treasury Office (Koshagar) in Dumka, Jharkhand, India, can be found at its administrative location within the town of Dumka.",0.8885,Correct,Correct,Ok,1,1,129,127,1.015748031,0
Where is the western entrance of Baidyanathdham?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The western entrance of Baidyanathdham is located along the Baba Mandir Road, opposite the dharamshala and administrative buildings."," The western entrance of Baidyanathdham can be found in Deoghar, Jharkhand, India.",0.8171,Correct,Correct,Ok,1,1,82,132,0.621212121,0
Where is the wholesale vegetable market situated in Deoghar?,Semantic Result Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The wholesale vegetable market in Deoghar is situated in the Kasturba Gandhi Chowk area (also known locally as Sabzi Mandi), in the central part of town."," The wholesale vegetable market in Deoghar could be located within the main market area, near the bus stand or along major roads. Due to the unspecified spatial scale, it is challenging to provide a precise location without further context. However, identifying key landmarks such as the market, bus stand, or major roads will likely lead you to the wholesale vegetable market in Deoghar.",0.7478,Not Correct,Not Correct,Halucinate,0,1,388,153,2.535947712,1
Where is Trikut Buru?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Trikut Buru is a hill range located about 15 kilometres from Deoghar city, within Deoghar district, Jharkhand."," Trikut Buru is likely located on Sumatra Island, Indonesia, based on common geographical references. However, without specific context or additional information, multiple locations with similar names could be possible. Please verify the location using other reliable sources for accurate results.",0.6777,Not Correct,Not Correct,Halucinate,0,0,297,110,2.7,1
Where is Trikut?,Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Trikut refers to Trikut Buru, which is a hill range near Deoghar city, within Deoghar district, Jharkhand."," Trikut refers to three hills located in Uttarakhand, India. The specific location can be found around coordinates 30°15'24.5""N 78°49'16.6""E. However, it may also refer to other places named Trikut, so without additional context, the above coordinates are for Tripuraraj Temple Complex on the Maikoot Hills in Uttarkashi district of Uttarakhand.",0.8352,Not Correct,Not Correct,Halucinate,1,1,347,106,3.273584906,1
Where was the old railway station of Deoghar?,Temporal Spatial Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The old railway station of Deoghar was located at Baidyanathdham (the present Deoghar Junction), which has been in operation since the early 1900s as part of the Jasidih-Deoghar branch line."," The old railway station of Deoghar was likely located in Deoghar town, Jharkhand, India. However, without specific dates provided, it is difficult to determine exactly when this station operated.",0.8447,Correct,Correct,Ok,1,1,196,190,1.031578947,0
Where was the original base of Trikut Buru trek?,Temporal Spatial Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"The original base of the Trikut Buru trek was at the same location as the current one, near Trikutpar village, which has been the traditional starting point for pilgrims and trekkers."," The location of the original base for Trikut Buru trek is not definitively known due to ambiguity in the time period referenced. However, it is commonly understood that this trek is located in the Sikkim region of India, specifically within the Kanchenjunga National Park.",0.7988,Correct,Correct,Ok,1,1,273,183,1.491803279,0
"Which ""Sadar Hospital"" is meant – the one in Deoghar or the one in Dumka?",Toponymical Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"""Sadar Hospital"" in the Dumka district context refers to Dumka Sadar Hospital; Deoghar district has its own separate ""Deoghar Sadar Hospital""."," Sadar Hospital in Deoghar or Sadar Hospital in Dumka, without specifying which one.",0.9061,Correct,Correct,Ok,1,1,84,142,0.591549296,0
Which blood bank is inside Dumka Sadar Hospital?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The licensed blood bank operating inside Dumka Sadar Hospital is the District Hospital Blood Bank, Dumka."," The intended interpretation would be that there might be multiple possible blood banks located within or in close proximity to Dumka Sadar Hospital, but without specific details, it's challenging to provide a definitive answer about a single blood bank inside the hospital premises.",0.8473,Correct,Not Correct,Ok,1,1,283,105,2.695238095,0
Which building in Dumka Sadar Hospital houses the blood donation unit?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,The blood donation unit is located in the Blood Bank building within the Dumka Sadar Hospital campus.," The intended interpretation would be that the building which accommodates the blood donation unit within Dumka Sadar Hospital is to be identified. However, without specific information regarding the number or names of buildings in Dumka Sadar Hospital, it's impossible to provide a definitive answer based on the provided query. It would require additional details such as the name or number of the building, or specific landmarks that can help pinpoint its location within the hospital complex.",0.7914,Not Correct,Not Correct,Halucinate,1,1,496,101,4.910891089,1
Which building inside Dumka Sadar Hospital is the main ward?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The main inpatient ward at Dumka Sadar Hospital is housed in the central block of the hospital complex, directly behind the emergency building."," The main ward within Dumka Sadar Hospital could refer to either the General Ward or the Medical Ward, as they are both primary areas for patient care. However, without additional context about the specific type of patients treated at each ward, it is impossible to definitively determine which one is considered the ""main"" ward.",0.7882,Correct,Not Correct,Ok,1,1,329,143,2.300699301,0
Which floor of the administrative building of the hospital houses the ICU?,Spatial Part Ambiguity | Semantic Result Ambiguity,N/A,N/A,N/A,N/A,"The ICU at Dumka Sadar Hospital is located on the ground floor of the main hospital building, adjacent to the emergency ward."," The Intensive Care Unit (ICU) is typically located on a higher floor, such as the third or fourth floor, in the administrative building of the hospital. However, due to the possibility of different layouts and variations among hospitals, it's recommended to consult specific hospital information for accurate details.",0.7084,Not Correct,Not Correct,Halucinate,0,1,318,125,2.544,1
Which hill in Trikut Buru is the highest?,Spatial Part Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,The central summit of Trikut Buru is the highest of the three peaks.," Without clear spatial boundaries, it is impossible to definitively determine which of the three hills in Trikut Buru is the highest.",0.7045,Not Correct,Correct,Ok,0,1,133,68,1.955882353,0
Which hills are adjacent to Marang Buru?,Relational Semantic Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,The hills adjacent to Marang Buru include the Belpahari and Lagwa hills within the Dumka-Godda uplands.," Adjacent hills to Marang Buru could refer to those located immediately next to or sharing a common border with it, or hills that are geographically close but not necessarily bordering directly. Without specific context or additional information, the exact definition remains ambiguous.",0.6054,Not Correct,Not Correct,Halucinate,0,0,286,103,2.776699029,1
Which hospital is next to Baidyanathdham?,Relational Semantic Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,The Baba Baidyanath District Ayurvedic Hospital is located near the Baidyanathdham temple complex.," There are multiple interpretations for ""next to"" in this context due to ambiguity in terms of direction (e.g., north, south, east, west) and distance (e.g., immediate neighbor versus a nearby location). Without additional context or precise geographic data, it is not possible to definitively determine which hospital is next to Baidyanathdham. However, one possible interpretation could be the hospital located directly on the opposite side of Baidyanathdham, assuming there are no other hospitals between them and they share a common boundary.",0.5987,Not Correct,Not Correct,Halucinate,0,0,546,98,5.571428571,1
Which is bigger Dumka or Deoghar?,Spatial Granularity Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"Deoghar municipal corporation is larger in population and urban extent compared to Dumka municipality; however, Dumka district (3716 sq km) is larger in geographical area than Deoghar district (2477 sq km)."," To compare the size of Dumka and Deoghar, it's necessary to specify a consistent spatial scale for analysis (e.g., area in square kilometers). As this information is unavailable, I cannot definitively establish which location is larger between Dumka and Deoghar.",0.84,Correct,Correct,Ok,1,1,263,206,1.276699029,0
Which landmark building contains the District Court in Dumka?,Semantic Result Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"The District Court of Dumka is housed in the District Court Building complex situated near the Collectorate, adjacent to the District Bar Association hall."," The intended interpretation refers to the District Court located within the Dumka district headquarters building, which is a multi-purpose administrative structure typically housing various government departments in addition to courts in many Indian districts. However, for precise information about this specific landmark, further research may be required.",0.8005,Correct,Not Correct,Ok,1,1,358,155,2.309677419,0
Which locality of Deoghar is the railway station situated in?,Spatial Granularity Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The Deoghar railway station is situated in the Baidyanathdham area (also called Baba Dham locality) of Deoghar city.," The railway station in Deoghar is located in the Deoghar district, Jharkhand, India.",0.8045,Correct,Correct,Ok,1,1,85,116,0.732758621,0
Which municipal ward does Nayapara belong to in Dumka?,Spatial Granularity Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,Nayapara is a separate revenue village outside the Dumka municipal limits; it is not part of any municipal ward.," The required spatial scale for determining a municipality ward is typically administrative boundaries at a city or district level. Therefore, to find out which municipal ward Nayapara belongs to in Dumka, one would need to consult the administrative map of Dumka district at this level of detail. However, without specifying an exact map or dataset, I'm unable to provide the specific ward information.",0.6449,Not Correct,Not Correct,Halucinate,0,0,403,112,3.598214286,1
Which of the Trikut Buru summits offers the highest viewing point?,Spatial Part Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,"The central peak of Trikut Buru offers the highest viewing point, with panoramic views of the surrounding region."," The summit with the highest viewing point among the Trikut Buru summits is likely the one with the most elevation, given the ambiguity in spatial extent. However, without specific data or more context, it's impossible to definitively answer this question.",0.7933,Correct,Not Correct,Ok,1,1,256,113,2.265486726,0
Which part of Dumka is Nayapara in?,Spatial Part Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"Nayapara is in the rural outskirts to the south/southeast of Dumka city, under the Dumka Sadar CD Block."," Nayapara is located within the Dumka district, but specific information about its exact location within the district (e.g., sub-district, village, or other administrative unit) is unavailable due to the ambiguity of the required spatial scale.",0.8342,Correct,Not Correct,Ok,1,1,244,104,2.346153846,0
Which peak of Trikut Buru is the highest?,Spatial Part Ambiguity | Geometric Result Ambiguity,N/A,N/A,N/A,N/A,The middle peak among the three summits of Trikut Buru is the highest.," The height of each peak in Trikut Buru may be ambiguous due to unclear spatial boundaries or extent, thus making it impossible to definitively determine which peak is the highest without additional information or more precise data.",0.8129,Not Correct,Not Correct,Halucinate,1,1,232,70,3.314285714,1
"Which places in Jharkhand are commonly referred to as ""Baba Dham""?",Toponymical Semantic Ambiguity | Toponymical Naming Ambiguity,N/A,N/A,N/A,N/A,"Baba Baidyanath Dham in Deoghar is the primarily called ""Baba Dham"". Baba Basukinath Dham, in Dumka is sometimes shortened to ""Baba Dham""."," Baba Dham in Jharkhand primarily refers to Baba Dham Temple located at Basukinath, a town and a notified area committee in Purulia district (currently part of West Bengal but geographically closer to Jharkhand). However, there is also another location called Baba Dham near Chota Nagpur Plateau in Jharkhand. Please verify with additional sources for the most accurate information.",0.7117,Not Correct,Not Correct,Halucinate,0,1,382,138,2.768115942,1
Which police station exercises jurisdiction over the area around Deoghar?,Relational Semantic Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,"The Deoghar Town police station exercises jurisdiction over the core urban area, while the Deoghar Muffasil police station covers the surrounding rural belt."," The jurisdiction of a specific police station over the area around Deoghar, assuming an appropriate spatial scale and clear geographic concept, can be determined by consulting official records or maps specifying police station boundaries. However, without such specific information, multiple interpretations are possible as there could be overlapping areas of jurisdiction among nearby police stations, making the answer ambiguous.",0.7241,Not Correct,Not Correct,Halucinate,0,1,432,157,2.751592357,1
Which pond is near Baidyanathdham?,Relational Semantic Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Mansarovar pond is the water body situated immediately adjacent to the Baidyanathdham temple complex.," The nearest pond to Baidyanathdham could refer to any body of water in close proximity to the holy shrine, such as a natural pond within or near the temple complex, or a nearby river or lake that may have a pond-like area. However, without specific context or information about the location, this interpretation remains somewhat ambiguous.",0.6929,Not Correct,Not Correct,Halucinate,0,0,340,101,3.366336634,1
Which prominent landmark stands opposite the western entrance of Baidyanathdham?,Relational Semantic Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The prominent landmark opposite the western entrance (main gate) of Baidyanathdham is the Baba Baidyanath Dharamshala and the administrative office complex.," The intended interpretation is that the landmark standing opposite the western entrance of Baidyanathdham could be any significant structure or feature on the eastern side, considering the entrance as a point of reference and assuming there are multiple possibilities for what constitutes a ""prominent"" landmark in this context.",0.7597,Correct,Not Correct,Ok,1,1,329,156,2.108974359,0
